Date,Lo 30,Med 40,Hi 30
2020-07-29,    1.30,    1.32,    2.03
2020-07-30,    0.16,   -0.95,   -1.86
2020-07-31,    1.09,   -0.23,   -0.22
2020-08-03,    1.15,    0.49,    0.85
2020-08-04,    0.29,    0.61,    0.20
2020-08-05,    0.66,    0.81,    1.67
2020-08-06,    0.80,    0.03,   -0.29
2020-08-07,   -0.59,    1.06,    2.49
2020-08-10,   -0.22,    0.93,    1.63
2020-08-11,   -1.24,   -0.29,    0.71
2020-08-12,    1.88,    0.65,   -0.08
2020-08-13,    0.25,   -0.55,   -0.90
2020-08-14,   -0.17,    0.18,    0.44
2020-08-17,    0.84,   -0.23,   -1.38
2020-08-18,    0.64,   -0.61,   -0.86
2020-08-19,   -0.42,   -0.35,   -0.17
2020-08-20,    0.85,   -0.65,   -1.26
2020-08-21,    0.49,   -0.19,   -0.42
2020-08-24,    0.53,    1.42,    2.94
2020-08-25,    0.59,   -0.25,    0.10
2020-08-26,    1.71,   -0.37,   -0.82
2020-08-27,   -0.02,    0.51,    1.25
2020-08-28,    0.64,    0.83,    0.68
2020-08-31,    0.39,   -0.89,   -1.45
2020-09-01,    1.20,   -0.03,    0.34
2020-09-02,    1.22,    1.48,    1.37
2020-09-03,   -4.45,   -2.05,   -1.49
2020-09-04,   -1.27,   -0.24,    1.04
2020-09-08,   -3.46,   -1.94,   -2.37
2020-09-09,    2.58,    1.11,    0.59
2020-09-10,   -1.78,   -1.49,   -1.39
2020-09-11,   -0.26,    0.29,    0.63
2020-09-14,    1.61,    1.55,    1.31
2020-09-15,    0.92,    0.12,   -1.15
2020-09-16,   -1.07,    1.00,    1.29
2020-09-17,   -1.03,   -0.48,   -0.70
2020-09-18,   -0.99,   -0.82,   -0.52
2020-09-21,   -0.43,   -2.22,   -3.33
2020-09-22,    1.43,    0.42,   -0.61
2020-09-23,   -2.58,   -2.24,   -2.58
2020-09-24,    0.38,    0.13,    0.31
2020-09-25,    1.95,    1.24,    0.77
2020-09-28,    1.55,    1.77,    2.42
