Date,Lo 30,Med 40,Hi 30
2019-11-27,    0.56,    0.33,    0.49
2019-11-29,   -0.29,   -0.45,   -0.47
2019-12-02,   -0.78,   -0.65,   -1.11
2019-12-03,   -0.86,   -0.86,   -0.32
2019-12-04,    0.87,    0.62,    0.43
2019-12-05,    0.28,    0.24,   -0.05
2019-12-06,    1.07,    0.92,    0.84
2019-12-09,   -0.43,   -0.27,   -0.32
2019-12-10,    0.06,   -0.01,   -0.22
2019-12-11,    0.49,    0.18,    0.26
2019-12-12,    0.99,    1.13,    0.63
2019-12-13,   -0.02,   -0.19,    0.11
2019-12-16,    0.85,    0.64,    0.77
2019-12-17,    0.14,    0.14,    0.03
2019-12-18,   -0.12,   -0.13,    0.10
2019-12-19,    0.43,    0.24,    0.63
2019-12-20,    0.37,    0.58,    0.46
2019-12-23,    0.46,   -0.19,    0.13
2019-12-24,   -0.02,    0.09,   -0.02
2019-12-26,    0.41,    0.32,    0.72
2019-12-27,   -0.03,   -0.06,   -0.16
2019-12-30,   -0.40,   -0.41,   -0.83
2019-12-31,    0.41,    0.27,    0.21
2020-01-02,    0.77,    0.67,    1.17
2020-01-03,   -0.73,   -0.72,   -0.58
2020-01-06,    0.26,    0.02,    0.75
2020-01-07,   -0.19,   -0.41,    0.03
2020-01-08,    0.48,    0.33,    0.62
2020-01-09,    0.77,    0.53,    0.69
2020-01-10,   -0.25,   -0.43,   -0.30
2020-01-13,    0.81,    0.71,    0.70
2020-01-14,   -0.15,    0.17,   -0.20
2020-01-15,    0.22,   -0.08,    0.35
2020-01-16,    0.81,    0.77,    1.04
2020-01-17,    0.36,    0.24,    0.28
2020-01-21,   -0.48,   -0.44,   -0.09
2020-01-22,    0.12,    0.19,   -0.06
2020-01-23,    0.04,    0.12,    0.12
2020-01-24,   -0.99,   -0.77,   -1.10
2020-01-27,   -1.55,   -1.47,   -1.66
2020-01-28,    0.89,    0.91,    1.25
2020-01-29,    0.18,   -0.39,   -0.03
2020-01-30,    0.12,    0.65,    0.25
2020-01-31,   -2.22,   -1.98,   -1.18
2020-02-03,    0.64,    0.70,    1.12
2020-02-04,    1.73,    1.32,    1.69
2020-02-05,    1.29,    1.24,    0.57
2020-02-06,    0.32,   -0.02,    0.54
2020-02-07,   -0.88,   -0.67,   -0.21
2020-02-10,    0.42,    0.43,    1.22
2020-02-11,    0.31,    0.52,    0.04
2020-02-12,    0.70,    0.55,    0.78
2020-02-13,   -0.50,    0.11,    0.01
2020-02-14,   -0.01,    0.10,    0.29
2020-02-18,   -0.89,   -0.27,    0.36
2020-02-19,    0.60,    0.53,    0.65
2020-02-20,   -0.30,   -0.25,   -0.46
2020-02-21,   -0.80,   -0.72,   -1.68
2020-02-24,   -3.32,   -3.04,   -3.77
2020-02-25,   -2.97,   -3.25,   -3.01
2020-02-26,   -0.23,   -1.03,   -0.23
2020-02-27,   -4.23,   -4.15,   -4.35
2020-02-28,   -1.04,   -1.55,    0.11
2020-03-02,    4.88,    4.28,    4.06
2020-03-03,   -2.60,   -2.71,   -3.05
2020-03-04,    4.42,    3.86,    3.95
2020-03-05,   -3.15,   -3.57,   -3.40
2020-03-06,   -1.45,   -1.80,   -1.91
2020-03-09,   -7.35,   -8.42,   -7.43
2020-03-10,    5.03,    4.64,    4.74
2020-03-11,   -5.00,   -5.06,   -5.08
2020-03-12,   -9.54,   -9.80,   -9.53
2020-03-13,    9.00,    9.41,    8.80
2020-03-16,  -11.01,  -12.38,  -12.32
2020-03-17,    5.94,    5.93,    5.76
2020-03-18,   -4.32,   -7.29,   -4.86
2020-03-19,   -0.45,    1.37,    2.36
2020-03-20,   -5.38,   -3.99,   -3.57
2020-03-23,   -3.21,   -3.67,   -1.17
2020-03-24,    9.27,   10.76,    8.29
2020-03-25,    1.02,    1.70,    0.73
2020-03-26,    6.26,    6.14,    5.84
2020-03-27,   -2.99,   -3.49,   -3.82
2020-03-30,    3.49,    2.77,    3.37
2020-03-31,   -1.28,   -1.88,   -1.13
2020-04-01,   -4.16,   -4.71,   -4.50
2020-04-02,    2.89,    2.54,    1.27
2020-04-03,   -1.22,   -1.95,   -1.74
2020-04-06,    6.37,    7.11,    7.66
2020-04-07,   -0.70,    0.38,   -0.09
2020-04-08,    3.27,    3.79,    3.18
2020-04-09,    1.25,    2.37,    1.10
2020-04-13,   -0.74,   -1.79,   -0.27
2020-04-14,    3.33,    2.09,    3.65
2020-04-15,   -2.03,   -3.12,   -1.42
2020-04-16,    0.60,   -0.29,    1.38
2020-04-17,    2.34,    3.84,    2.07
2020-04-20,   -1.60,   -2.09,   -1.16
2020-04-21,   -2.88,   -2.77,   -3.48
2020-04-22,    2.19,    2.20,    2.45
2020-04-23,    0.04,   -0.17,    0.38
2020-04-24,    1.64,    1.43,    1.31
2020-04-27,    1.47,    2.60,    1.14
2020-04-28,   -0.47,    0.49,   -1.25
2020-04-29,    2.12,    2.73,    3.68
2020-04-30,   -0.84,   -2.40,   -0.31
2020-05-01,   -2.51,   -2.88,   -3.19
2020-05-04,    0.20,    0.20,    1.00
2020-05-05,    1.01,    0.55,    1.20
2020-05-06,   -0.52,   -1.19,   -0.02
2020-05-07,    0.59,    1.66,    1.43
2020-05-08,    1.92,    2.28,    1.58
2020-05-11,    0.42,   -0.93,    0.57
2020-05-12,   -1.90,   -2.21,   -2.13
2020-05-13,   -1.72,   -2.17,   -1.76
2020-05-14,    1.01,    1.60,    0.90
2020-05-15,    0.10,    0.12,    1.17
2020-05-18,    2.97,    4.39,    2.54
2020-05-19,   -1.31,   -1.58,   -0.41
2020-05-20,    1.51,    1.91,    1.90
2020-05-21,   -0.65,   -0.73,   -0.71
2020-05-22,    0.23,    0.08,    0.46
2020-05-26,    1.09,    2.44,    0.42
2020-05-27,    1.54,    2.41,    0.91
2020-05-28,   -0.10,   -0.80,   -0.33
2020-05-29,    0.50,    0.29,    0.80
2020-06-01,    0.12,    0.47,    0.69
2020-06-02,    0.91,    0.98,    0.62
2020-06-03,    1.31,    2.16,    0.86
2020-06-04,   -0.14,    0.20,   -0.85
2020-06-05,    2.26,    2.93,    2.40
2020-06-08,    1.26,    1.55,    1.18
2020-06-09,   -0.57,   -1.77,   -0.23
2020-06-10,   -0.34,   -1.61,    0.14
2020-06-11,   -5.78,   -6.44,   -5.60
2020-06-12,    1.15,    1.50,    1.21
2020-06-15,    0.85,    0.91,    1.27
2020-06-16,    2.26,    1.66,    1.83
2020-06-17,   -0.42,   -0.86,   -0.03
