Date,Lo 30,Med 40,Hi 30
2020-03-02,    4.13,    4.10,    4.71
2020-03-03,   -2.50,   -2.85,   -2.94
2020-03-04,    3.59,    4.00,    4.19
2020-03-05,   -3.41,   -3.62,   -3.22
2020-03-06,   -2.65,   -1.73,   -1.49
2020-03-09,   -8.96,   -8.02,   -7.25
2020-03-10,    4.34,    4.47,    5.19
2020-03-11,   -5.56,   -5.21,   -4.73
2020-03-12,  -10.35,   -9.51,   -9.48
2020-03-13,    7.87,    9.50,    9.30
2020-03-16,  -13.03,  -11.76,  -11.77
2020-03-17,    5.11,    6.67,    5.85
2020-03-18,   -8.08,   -5.32,   -4.75
2020-03-19,    4.20,    0.49,    0.69
2020-03-20,   -2.81,   -4.74,   -4.30
2020-03-23,   -2.81,   -3.54,   -1.78
2020-03-24,   10.42,    9.33,    8.99
2020-03-25,    1.90,    1.17,    0.86
2020-03-26,    5.72,    6.44,    5.84
2020-03-27,   -3.10,   -3.36,   -3.63
2020-03-30,    2.32,    3.11,    3.53
2020-03-31,   -1.48,   -1.44,   -1.45
2020-04-01,   -5.43,   -4.50,   -4.11
2020-04-02,    1.52,    2.45,    2.17
2020-04-03,   -1.62,   -1.96,   -1.43
2020-04-06,    6.93,    6.96,    7.20
2020-04-07,    0.20,   -0.20,   -0.10
2020-04-08,    4.05,    3.81,    2.92
2020-04-09,    3.06,    2.13,    0.69
2020-04-13,   -1.22,   -1.49,   -0.40
2020-04-14,    2.75,    2.30,    3.63
2020-04-15,   -2.48,   -2.34,   -1.92
2020-04-16,    0.30,    0.19,    1.01
2020-04-17,    3.30,    3.44,    2.00
2020-04-20,   -0.69,   -1.84,   -1.72
2020-04-21,   -3.37,   -2.76,   -3.19
2020-04-22,    2.23,    1.85,    2.61
2020-04-23,   -0.10,    0.27,    0.06
2020-04-24,    1.58,    1.16,    1.56
2020-04-27,    2.76,    2.06,    1.14
2020-04-28,   -0.43,   -0.25,   -0.61
2020-04-29,    3.14,    2.96,    2.88
2020-04-30,   -2.03,   -1.72,   -0.46
2020-05-01,   -3.31,   -2.69,   -2.94
2020-05-04,    0.88,    0.21,    0.65
2020-05-05,    1.09,    0.82,    0.96
2020-05-06,   -0.75,   -1.19,   -0.02
2020-05-07,    2.15,    1.32,    1.00
2020-05-08,    2.22,    1.99,    1.74
2020-05-11,    0.04,   -0.40,    0.32
2020-05-12,   -2.20,   -2.15,   -2.08
2020-05-13,   -2.41,   -2.20,   -1.52
2020-05-14,    0.89,    1.38,    1.12
2020-05-15,    0.95,    0.30,    0.58
2020-05-18,    3.34,    3.72,    2.94
2020-05-19,   -1.23,   -1.52,   -0.71
2020-05-20,    1.90,    1.88,    1.73
2020-05-21,   -0.49,   -0.77,   -0.79
2020-05-22,    0.69,    0.23,    0.18
2020-05-26,    1.41,    1.93,    0.81
2020-05-27,    1.72,    2.12,    1.17
2020-05-28,   -0.65,   -0.38,   -0.37
2020-05-29,    0.57,    0.32,    0.67
2020-06-01,    1.01,    0.35,    0.36
2020-06-02,    0.76,    0.79,    0.88
2020-06-03,    1.49,    1.53,    1.27
2020-06-04,   -0.40,   -0.14,   -0.43
2020-06-05,    2.62,    2.71,    2.41
2020-06-08,    2.11,    1.47,    0.95
2020-06-09,   -1.54,   -1.52,   -0.11
2020-06-10,   -0.85,   -1.54,    0.21
2020-06-11,   -6.58,   -6.05,   -5.64
2020-06-12,    1.73,    1.44,    1.05
2020-06-15,    1.92,    0.92,    0.83
2020-06-16,    1.45,    1.72,    2.13
2020-06-17,   -0.44,   -0.76,   -0.15
2020-06-18,    0.44,    0.05,    0.12
2020-06-19,   -0.14,   -0.54,   -0.47
2020-06-22,    0.64,    0.39,    0.91
2020-06-23,    0.12,    0.27,    0.66
2020-06-24,   -2.95,   -2.88,   -2.35
2020-06-25,    1.57,    1.20,    0.97
2020-06-26,   -2.35,   -2.56,   -2.42
2020-06-29,    1.09,    1.61,    1.64
2020-06-30,    1.83,    1.45,    1.63
2020-07-01,    0.33,    0.15,    0.60
2020-07-02,    0.33,    0.82,    0.44
2020-07-06,    1.44,    1.43,    1.91
2020-07-07,   -0.76,   -1.24,   -0.96
2020-07-08,    1.42,    0.49,    0.99
2020-07-09,   -1.08,   -0.96,   -0.12
2020-07-10,    0.86,    2.10,    0.68
2020-07-13,   -2.31,   -0.71,   -1.14
2020-07-14,    1.53,    1.36,    1.26
2020-07-15,    2.10,    1.42,    0.65
2020-07-16,   -0.62,   -0.09,   -0.44
2020-07-17,    0.85,    0.26,    0.16
2020-07-20,    0.86,    0.51,    1.44
2020-07-21,    0.40,    0.71,   -0.25
2020-07-22,    0.08,    0.70,    0.43
2020-07-23,   -0.67,   -0.58,   -1.75
2020-07-24,   -1.12,   -0.75,   -0.66
2020-07-27,    1.00,    0.60,    1.00
2020-07-28,   -0.84,   -0.67,   -0.84
2020-07-29,    1.69,    1.75,    1.07
2020-07-30,   -0.56,   -0.54,   -0.04
2020-07-31,    0.13,   -0.66,    1.57
2020-08-03,    1.42,    0.60,    1.05
2020-08-04,    0.31,    0.25,    0.43
2020-08-05,    1.26,    0.65,    0.72
2020-08-06,    0.03,    0.10,    0.93
2020-08-07,   -0.25,    0.65,   -0.22
2020-08-10,   -0.17,    0.19,    0.31
2020-08-11,   -0.89,   -0.51,   -1.04
2020-08-12,    0.53,    1.26,    1.76
2020-08-13,    0.30,   -0.06,   -0.10
2020-08-14,   -0.30,   -0.07,    0.05
2020-08-17,    0.65,    0.25,    0.44
2020-08-18,   -0.18,    0.00,    0.47
2020-08-19,   -0.40,   -0.42,   -0.36
2020-08-20,   -0.01,    0.14,    0.52
2020-08-21,   -0.62,    0.00,    0.65
2020-08-24,    0.71,    0.96,    0.96
2020-08-25,    0.48,    0.23,    0.39
2020-08-26,    1.52,    0.46,    1.23
2020-08-27,    0.18,    0.54,    0.01
2020-08-28,    0.85,    0.47,    0.76
2020-08-31,   -0.46,    0.06,    0.02
2020-09-01,    1.10,    0.13,    1.19
2020-09-02,    0.68,    1.46,    1.36
2020-09-03,   -3.47,   -3.00,   -4.11
2020-09-04,   -1.35,   -0.55,   -0.89
2020-09-08,   -2.17,   -3.06,   -3.24
2020-09-09,    1.73,    1.61,    2.44
2020-09-10,   -1.32,   -1.41,   -1.93
2020-09-11,   -0.36,    0.19,   -0.11
2020-09-14,    2.07,    1.71,    1.35
2020-09-15,    0.30,    0.42,    0.72
2020-09-16,    0.68,   -0.08,   -0.88
2020-09-17,   -0.75,   -0.94,   -0.86
2020-09-18,   -0.24,   -0.70,   -1.21
2020-09-21,   -1.39,   -1.55,   -0.75
2020-09-22,    0.86,    0.11,    1.59
2020-09-23,   -2.61,   -2.62,   -2.41
2020-09-24,   -0.18,    0.27,    0.48
2020-09-25,    1.97,    1.47,    1.74
2020-09-28,    1.73,    1.78,    1.59
2020-09-29,   -0.21,   -0.41,   -0.46
2020-09-30,    0.50,    0.94,    0.79
2020-10-01,    0.96,    0.72,    0.79
2020-10-02,   -0.47,   -0.48,   -1.45
2020-10-05,    2.11,    2.05,    1.88
2020-10-06,   -0.69,   -1.08,   -1.54
2020-10-07,    2.16,    1.76,    1.77
2020-10-08,    0.96,    1.11,    0.63
2020-10-09,    0.95,    0.48,    1.20
2020-10-12,    0.63,    1.23,    2.09
2020-10-13,    0.05,   -0.68,   -0.53
2020-10-14,   -0.82,   -0.52,   -0.68
2020-10-15,    0.10,    0.00,   -0.25
2020-10-16,   -0.17,    0.24,   -0.24
2020-10-19,   -1.18,   -1.44,   -1.74
2020-10-20,    0.29,    0.42,    0.44
2020-10-21,   -0.72,   -0.18,   -0.27
2020-10-22,    1.28,    1.35,    0.12
2020-10-23,    0.59,    0.49,    0.29
2020-10-26,   -2.26,   -1.77,   -1.77
2020-10-27,   -0.36,   -0.74,    0.08
2020-10-28,   -2.86,   -3.32,   -3.67
2020-10-29,    1.07,    0.91,    1.38
2020-10-30,   -1.75,   -0.32,   -1.97
2020-11-02,    1.03,    1.81,    0.86
2020-11-03,    2.27,    1.87,    1.86
2020-11-04,    2.26,    1.00,    2.97
2020-11-05,    2.16,    1.93,    2.23
2020-11-06,    0.10,   -0.27,    0.13
2020-11-09,    1.75,    2.72,   -0.25
2020-11-10,   -0.39,    0.45,   -0.48
2020-11-11,    0.94,    0.13,    1.26
2020-11-12,   -0.93,   -1.25,   -0.79
2020-11-13,    1.37,    1.49,    1.21
2020-11-16,    1.48,    1.42,    1.02
2020-11-17,    0.40,   -0.17,   -0.46
2020-11-18,   -1.02,   -0.90,   -0.99
2020-11-19,    1.24,    0.40,    0.46
2020-11-20,    0.03,   -0.50,   -0.75
2020-11-23,    1.47,    1.26,    0.29
2020-11-24,    1.41,    2.21,    1.28
2020-11-25,   -0.04,   -0.18,    0.05
2020-11-27,    0.72,    0.33,    0.33
2020-11-30,   -0.62,   -1.18,   -0.16
2020-12-01,    0.30,    1.30,    1.24
2020-12-02,    0.12,    0.49,   -0.03
2020-12-03,    0.56,    0.31,   -0.14
2020-12-04,    1.58,    1.13,    0.78
2020-12-07,    0.00,    0.04,   -0.03
2020-12-08,    0.89,    0.38,    0.35
2020-12-09,   -1.21,   -1.10,   -0.93
2020-12-10,    1.44,    0.28,   -0.26
2020-12-11,    0.43,   -0.42,   -0.15
2020-12-14,   -0.64,   -0.29,   -0.15
2020-12-15,    1.42,    1.16,    1.41
2020-12-16,    0.14,   -0.30,    0.37
2020-12-17,    1.35,    0.79,    0.54
2020-12-18,    0.07,    0.03,   -0.35
2020-12-21,    0.12,   -0.59,   -0.20
2020-12-22,    0.56,   -0.42,    0.07
2020-12-23,    0.18,    0.71,   -0.22
2020-12-24,   -0.07,    0.26,    0.39
2020-12-28,   -0.71,    0.32,    1.17
2020-12-29,   -0.91,   -0.39,   -0.16
2020-12-30,    0.84,    0.50,   -0.06
2020-12-31,   -0.15,    0.89,    0.35
2021-01-04,   -1.14,   -0.91,   -1.66
2021-01-05,    1.21,    0.86,    0.68
2021-01-06,    1.57,    2.11,   -0.17
2021-01-07,    2.29,    1.98,    1.42
2021-01-08,    0.37,    0.82,    0.33
2021-01-11,    0.10,   -0.71,   -0.64
2021-01-12,    1.14,    0.51,   -0.09
2021-01-13,   -0.31,    0.03,    0.17
2021-01-14,    0.68,    0.09,   -0.53
2021-01-15,   -1.32,   -0.88,   -0.68
2021-01-19,    1.20,    1.02,    0.79
2021-01-20,    0.77,    1.16,    1.62
2021-01-21,   -0.91,   -0.55,    0.58
2021-01-22,    0.34,   -0.11,   -0.29
2021-01-25,   -0.36,    0.23,    0.55
2021-01-26,   -1.25,   -0.50,    0.11
2021-01-27,   -3.02,   -2.80,   -2.18
2021-01-28,    2.25,    0.96,    0.55
2021-01-29,   -1.47,   -1.58,   -2.21
2021-02-01,    1.98,    1.72,    1.68
2021-02-02,    2.35,    1.47,    1.24
